Title,Release Year,Genre,Rating,Summary
Turochamp,1948,Sport,7.6,Turochamp is the first video game ever made in history.
Bertie the Brain,1950,NA,0,Bertie the Brain was a 13 foot tall computer that allowed exhibition attendees to play a game of tic-tac-toe against Bertie itself. The player must enter a move on a lit keypad in the form                 
Draughts,1952,NA,0,Add a Plot
OXO,1952,Action,7.2,"A simulation on the game of tic-tac-toe in which its program was written on the Electronic Delay Storage Automatic Calculator, or EDSAC for short. The player and the CPU is able to choose                 "
Tennis for Two,1958,Sport,7.1,A tennis simulation game displayed on an oscilloscope and played with two custom aluminum controllers. The game depicts the tennis court as a long horizontal line and a small line in the                 
Spacewar!,1962,"Action, Sci-Fi",6.9,Two players control two space ships engaged in a duel in the middle of outer space.
Marienbad,1962,Action,0,Add a Plot
The Sumerian Game,1964,Action,0,Add a Plot
Computer Quiz,1967,NA,0,Add a Plot
Hamurabi,1968,NA,7.4,"The player takes on the role of Hammurabi, the sixth king of the First Babylonian dynasty. The objective is to manage the dynasty through ten rounds of game-play. The tasks involve how much                "
Space Travel,1969,Sci-Fi,8.5,"A spaceflight simulation in which the player controls a spaceship as it flies through a representation of the Solar System. The game has no specific objectives, other than to attempt to                 "
Lunar Lander,1969,Sci-Fi,6.8,Add a Plot
Lunar,1969,Sci-Fi,0,The player's aim is to successfully land a lander on the moon's surface.
Highnoon,1970,"Action, Western",4.8,Add a Plot
F.B.I. Shooting Gun,1970,Action,0,Add a Plot
Computer Space,1971,"Action, Sci-Fi",6.6,Take control of a rocket ship as it travels across reaches of outer space. The mission assigned to the rocket is to shoot a pair of flying saucers while avoiding their line of fire. along                 
The Oregon Trail,1971,"Adventure, Family, History",7.7,"The player takes on the role of a wagon leader guiding a group of settlers from Independence, Missouri, to Oregon's Willamette Valley on the Oregon Trail via a covered wagon in the year 1848."
Galaxy Game,1971,"Action, Sci-Fi",6.6,"Galaxy Game is a space combat arcade game developed in 1971 during the early era of video games. Created by Bill Pitts and Hugh Tuck, it was one of the first coin-operated video games; its                 "
Baseball,1971,Sport,0,Add a Plot
Empire,1971,Adventure,0,"Empire is a turn-based 4X wargame for up to 100 players. The game world is made up out of sectors on a hexagonal grid with a designation (agricultural, industrial, etc.) The player must                 "
Star Trek,1971,Sci-Fi,7.2,"Star Trek is a text-based strategy video game based on the Star Trek television series in which the player, controlling the USS Enterprise starship, flies through the galaxy and hunts down Klingon warships within a time limit."
